Date,year,MonthName,MonthNo,Day,DayName,DayNo
2017-04-07 00:00:00,2017,April,4,7,Friday,6
2017-04-14 00:00:00,2017,April,4,14,Friday,6
2017-04-21 00:00:00,2017,April,4,21,Friday,6
2017-04-28 00:00:00,2017,April,4,28,Friday,6
2018-04-06 00:00:00,2018,April,4,6,Friday,6
2018-04-13 00:00:00,2018,April,4,13,Friday,6
2018-04-20 00:00:00,2018,April,4,20,Friday,6
2018-04-27 00:00:00,2018,April,4,27,Friday,6
2019-04-05 00:00:00,2019,April,4,5,Friday,6
2019-04-12 00:00:00,2019,April,4,12,Friday,6
2019-04-19 00:00:00,2019,April,4,19,Friday,6
2019-04-26 00:00:00,2019,April,4,26,Friday,6
2017-08-04 00:00:00,2017,August,8,4,Friday,6
2017-08-11 00:00:00,2017,August,8,11,Friday,6
2017-08-18 00:00:00,2017,August,8,18,Friday,6
2017-08-25 00:00:00,2017,August,8,25,Friday,6
2018-08-03 00:00:00,2018,August,8,3,Friday,6
2018-08-10 00:00:00,2018,August,8,10,Friday,6
2018-08-17 00:00:00,2018,August,8,17,Friday,6
2018-08-24 00:00:00,2018,August,8,24,Friday,6
2018-08-31 00:00:00,2018,August,8,31,Friday,6
2019-08-02 00:00:00,2019,August,8,2,Friday,6
2019-08-09 00:00:00,2019,August,8,9,Friday,6
2019-08-16 00:00:00,2019,August,8,16,Friday,6
2019-08-23 00:00:00,2019,August,8,23,Friday,6
2019-08-30 00:00:00,2019,August,8,30,Friday,6
2017-12-01 00:00:00,2017,December,12,1,Friday,6
2017-12-08 00:00:00,2017,December,12,8,Friday,6
2017-12-15 00:00:00,2017,December,12,15,Friday,6
2017-12-22 00:00:00,2017,December,12,22,Friday,6
2017-12-29 00:00:00,2017,December,12,29,Friday,6
2018-12-07 00:00:00,2018,December,12,7,Friday,6
2018-12-14 00:00:00,2018,December,12,14,Friday,6
2018-12-21 00:00:00,2018,December,12,21,Friday,6
2018-12-28 00:00:00,2018,December,12,28,Friday,6
2019-12-06 00:00:00,2019,December,12,6,Friday,6
2019-12-13 00:00:00,2019,December,12,13,Friday,6
2019-12-20 00:00:00,2019,December,12,20,Friday,6
2019-12-27 00:00:00,2019,December,12,27,Friday,6
2017-02-03 00:00:00,2017,February,2,3,Friday,6
2017-02-10 00:00:00,2017,February,2,10,Friday,6
2017-02-17 00:00:00,2017,February,2,17,Friday,6
2017-02-24 00:00:00,2017,February,2,24,Friday,6
2018-02-02 00:00:00,2018,February,2,2,Friday,6
2018-02-09 00:00:00,2018,February,2,9,Friday,6
2018-02-16 00:00:00,2018,February,2,16,Friday,6
2018-02-23 00:00:00,2018,February,2,23,Friday,6
2019-02-01 00:00:00,2019,February,2,1,Friday,6
2019-02-08 00:00:00,2019,February,2,8,Friday,6
2019-02-15 00:00:00,2019,February,2,15,Friday,6
2019-02-22 00:00:00,2019,February,2,22,Friday,6
2017-01-06 00:00:00,2017,January,1,6,Friday,6
2017-01-13 00:00:00,2017,January,1,13,Friday,6
2017-01-20 00:00:00,2017,January,1,20,Friday,6
2017-01-27 00:00:00,2017,January,1,27,Friday,6
2018-01-05 00:00:00,2018,January,1,5,Friday,6
2018-01-12 00:00:00,2018,January,1,12,Friday,6
2018-01-19 00:00:00,2018,January,1,19,Friday,6
2018-01-26 00:00:00,2018,January,1,26,Friday,6
2019-01-04 00:00:00,2019,January,1,4,Friday,6
2019-01-11 00:00:00,2019,January,1,11,Friday,6
2019-01-18 00:00:00,2019,January,1,18,Friday,6
2019-01-25 00:00:00,2019,January,1,25,Friday,6
2017-07-07 00:00:00,2017,July,7,7,Friday,6
2017-07-14 00:00:00,2017,July,7,14,Friday,6
2017-07-21 00:00:00,2017,July,7,21,Friday,6
2017-07-28 00:00:00,2017,July,7,28,Friday,6
2018-07-06 00:00:00,2018,July,7,6,Friday,6
2018-07-13 00:00:00,2018,July,7,13,Friday,6
2018-07-20 00:00:00,2018,July,7,20,Friday,6
2018-07-27 00:00:00,2018,July,7,27,Friday,6
2019-07-05 00:00:00,2019,July,7,5,Friday,6
2019-07-12 00:00:00,2019,July,7,12,Friday,6
2019-07-19 00:00:00,2019,July,7,19,Friday,6
2019-07-26 00:00:00,2019,July,7,26,Friday,6
2017-06-02 00:00:00,2017,June,6,2,Friday,6
2017-06-09 00:00:00,2017,June,6,9,Friday,6
2017-06-16 00:00:00,2017,June,6,16,Friday,6
2017-06-23 00:00:00,2017,June,6,23,Friday,6
2017-06-30 00:00:00,2017,June,6,30,Friday,6
2018-06-01 00:00:00,2018,June,6,1,Friday,6
2018-06-08 00:00:00,2018,June,6,8,Friday,6
2018-06-15 00:00:00,2018,June,6,15,Friday,6
2018-06-22 00:00:00,2018,June,6,22,Friday,6
2018-06-29 00:00:00,2018,June,6,29,Friday,6
2019-06-07 00:00:00,2019,June,6,7,Friday,6
2019-06-14 00:00:00,2019,June,6,14,Friday,6
2019-06-21 00:00:00,2019,June,6,21,Friday,6
2019-06-28 00:00:00,2019,June,6,28,Friday,6
2017-03-03 00:00:00,2017,March,3,3,Friday,6
2017-03-10 00:00:00,2017,March,3,10,Friday,6
2017-03-17 00:00:00,2017,March,3,17,Friday,6
2017-03-24 00:00:00,2017,March,3,24,Friday,6
2017-03-31 00:00:00,2017,March,3,31,Friday,6
2018-03-02 00:00:00,2018,March,3,2,Friday,6
2018-03-09 00:00:00,2018,March,3,9,Friday,6
2018-03-16 00:00:00,2018,March,3,16,Friday,6
2018-03-23 00:00:00,2018,March,3,23,Friday,6
2018-03-30 00:00:00,2018,March,3,30,Friday,6
2019-03-01 00:00:00,2019,March,3,1,Friday,6
2019-03-08 00:00:00,2019,March,3,8,Friday,6
2019-03-15 00:00:00,2019,March,3,15,Friday,6
2019-03-22 00:00:00,2019,March,3,22,Friday,6
2019-03-29 00:00:00,2019,March,3,29,Friday,6
2017-05-05 00:00:00,2017,May,5,5,Friday,6
2017-05-12 00:00:00,2017,May,5,12,Friday,6
2017-05-19 00:00:00,2017,May,5,19,Friday,6
2017-05-26 00:00:00,2017,May,5,26,Friday,6
2018-05-04 00:00:00,2018,May,5,4,Friday,6
2018-05-11 00:00:00,2018,May,5,11,Friday,6
2018-05-18 00:00:00,2018,May,5,18,Friday,6
2018-05-25 00:00:00,2018,May,5,25,Friday,6
2019-05-03 00:00:00,2019,May,5,3,Friday,6
2019-05-10 00:00:00,2019,May,5,10,Friday,6
2019-05-17 00:00:00,2019,May,5,17,Friday,6
2019-05-24 00:00:00,2019,May,5,24,Friday,6
2019-05-31 00:00:00,2019,May,5,31,Friday,6
2017-11-03 00:00:00,2017,November,11,3,Friday,6
2017-11-10 00:00:00,2017,November,11,10,Friday,6
2017-11-17 00:00:00,2017,November,11,17,Friday,6
2017-11-24 00:00:00,2017,November,11,24,Friday,6
2018-11-02 00:00:00,2018,November,11,2,Friday,6
2018-11-09 00:00:00,2018,November,11,9,Friday,6
2018-11-16 00:00:00,2018,November,11,16,Friday,6
2018-11-23 00:00:00,2018,November,11,23,Friday,6
2018-11-30 00:00:00,2018,November,11,30,Friday,6
2019-11-01 00:00:00,2019,November,11,1,Friday,6
2019-11-08 00:00:00,2019,November,11,8,Friday,6
2019-11-15 00:00:00,2019,November,11,15,Friday,6
2019-11-22 00:00:00,2019,November,11,22,Friday,6
2019-11-29 00:00:00,2019,November,11,29,Friday,6
2017-10-06 00:00:00,2017,October,10,6,Friday,6
2017-10-13 00:00:00,2017,October,10,13,Friday,6
2017-10-20 00:00:00,2017,October,10,20,Friday,6
2017-10-27 00:00:00,2017,October,10,27,Friday,6
2018-10-05 00:00:00,2018,October,10,5,Friday,6
2018-10-12 00:00:00,2018,October,10,12,Friday,6
2018-10-19 00:00:00,2018,October,10,19,Friday,6
2018-10-26 00:00:00,2018,October,10,26,Friday,6
2019-10-04 00:00:00,2019,October,10,4,Friday,6
2019-10-11 00:00:00,2019,October,10,11,Friday,6
2019-10-18 00:00:00,2019,October,10,18,Friday,6
2019-10-25 00:00:00,2019,October,10,25,Friday,6
2017-09-01 00:00:00,2017,September,9,1,Friday,6
2017-09-08 00:00:00,2017,September,9,8,Friday,6
2017-09-15 00:00:00,2017,September,9,15,Friday,6
2017-09-22 00:00:00,2017,September,9,22,Friday,6
2017-09-29 00:00:00,2017,September,9,29,Friday,6
2018-09-07 00:00:00,2018,September,9,7,Friday,6
2018-09-14 00:00:00,2018,September,9,14,Friday,6
2018-09-21 00:00:00,2018,September,9,21,Friday,6
2018-09-28 00:00:00,2018,September,9,28,Friday,6
2019-09-06 00:00:00,2019,September,9,6,Friday,6
2019-09-13 00:00:00,2019,September,9,13,Friday,6
2019-09-20 00:00:00,2019,September,9,20,Friday,6
2019-09-27 00:00:00,2019,September,9,27,Friday,6
2017-04-03 00:00:00,2017,April,4,3,Monday,2
